City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
439,Amuntai,ID,72.75,overcast clouds,-2.4177,115.2494,Hotel Balqis
440,Ankazoabo,MG,77.41,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
441,Katiola,CI,73.29,broken clouds,8.1333,-5.1,Auberge Residence Yebin
442,Westport,US,62.31,thunderstorm,41.1415,-73.3579,The Westport Inn
444,Ambon,ID,75.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
446,Kalabo,ZM,76.68,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
447,Mehendiganj,BD,79.0,broken clouds,22.8167,90.5333,"জেলা পরিষদ ডাকবাংলো, মেহেন্দিগঞ্জ, বরিশাল"
451,Vaitape,PF,77.61,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
452,Fort-Shevchenko,KZ,66.69,broken clouds,44.5086,50.263000000000005,Oasis hotel Bautino
453,Kenora,CA,60.78,overcast clouds,49.8167,-94.4337,Maynard Lake Lodge
454,Siaya,KE,64.6,broken clouds,0.0612,34.2882,Siala Apartments
455,Tadine,NC,72.0,overcast clouds,-21.55,167.8833,
456,Douglas,US,74.61,scattered clouds,41.3,-96.167,Hilton Garden Inn Omaha West
458,Vanimo,PG,77.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
460,Bandarbeyla,SO,77.41,broken clouds,9.4942,50.8122,JABIR HOTEL
462,Jalu,LY,78.66,clear sky,29.0331,21.5482,صاحبة الفخامة
463,Santa Cruz De Tenerife,ES,77.45,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
464,Takoradi,GH,76.08,clear sky,4.8845,-1.7554,Raybow International Hotel
465,Isangel,VU,73.96,scattered clouds,-19.55,169.2667,Tanna Lodge
466,Tabuk,PH,73.2,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
467,Huarmey,PE,66.72,clear sky,-10.0681,-78.1522,Hotel Miramar
470,Leshan,CN,61.47,light rain,29.5623,103.7639,Leshan Haiyun International Youth Hostel
472,Buchanan,LR,77.97,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
475,Rong Kwang,TH,72.77,overcast clouds,18.339000000000002,100.3174,Rong Kwang Hotel
477,Ypsonas,CY,74.37,few clouds,34.6884,32.9574,Club Aphrodite
480,Tamiahua,MX,76.33,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
481,Sambava,MG,68.85,light rain,-14.2667,50.1667,Melrose
483,Kisangani,CD,69.31,light rain,0.5167,25.2,Grand Ramela Hotel
484,Concordia,AR,74.21,broken clouds,-31.393,-58.0209,Palmar Hotel Casino
487,Mananara,MG,68.02,light rain,-16.1667,49.7667,Chez Roger
491,Dali,CN,61.29,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
495,San Fernando,PH,75.56,overcast clouds,15.0286,120.6898,Maharlika Hostel
497,Cortland,US,69.96,clear sky,42.6001,-76.083,Cortland Motel
502,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
503,Saint Andrews,US,78.6,clear sky,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
505,Bam,IR,78.96,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
507,Hambantota,LK,78.64,overcast clouds,6.1241,81.1185,Bungalow 63
509,Newburyport,US,60.49,overcast clouds,42.8126,-70.8773,Fairfield Inn Amesbury
516,Broome,US,71.02,scattered clouds,42.2506,-75.833,Chenango Valley State Park
520,Ponta Delgada,PT,71.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
522,Truth Or Consequences,US,75.9,clear sky,33.1284,-107.2528,Charles Hot Springs
526,Guerrero Negro,MX,76.26,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
527,Mersin,TR,74.16,clear sky,36.861999999999995,34.6509,Nostalgia Boutique Hotel
528,Nea Stira,GR,65.98,clear sky,38.1833,24.2,Venus Beach Hotel
531,Lewisporte,CA,67.55,broken clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
534,Bardiyah,LY,72.91,clear sky,31.7561,25.0865,بورتو بردية
543,Riesa,DE,62.35,overcast clouds,51.3,13.3,Mercure Hotel Riesa Dresden Elbland
544,Bulungu,CD,75.43,overcast clouds,-4.55,18.6,Maison MC Michel
546,Isiro,CD,65.89,moderate rain,2.7739,27.616,Guest House Hewa Bora
547,Lavumisa,SZ,73.33,overcast clouds,-27.31,31.892,ROADSIDE B&B
551,Shingu,JP,63.82,overcast clouds,33.7333,135.9833,Shingu UI Hotel
552,Ferrol,ES,63.12,overcast clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
555,Malazgirt,TR,65.05,overcast clouds,39.1427,42.5401,malazgirt otel
556,Morristown,US,74.95,clear sky,36.214,-83.2949,Days Inn by Wyndham Morristown
563,Bimbo,CF,72.9,overcast clouds,4.2567,18.4158,
565,Luganville,VU,78.39,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
569,Mayo,US,64.81,mist,38.8876,-76.5119,Resorts Resource Group International
572,Gidam,IN,71.98,overcast clouds,18.9833,81.4,Dhanshree Lodge And DormItory
573,Cortez,US,64.04,few clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
577,Manggar,ID,79.79,overcast clouds,-2.8833,108.2667,Guest Hotel
578,Umaria,IN,72.12,broken clouds,23.5333,80.8333,KRISHNA PALACE
580,Poum,NC,72.64,scattered clouds,-20.2333,164.0167,
584,Santona,ES,68.07,clear sky,43.4439,-3.4576,Playamar
586,Wolfsburg,DE,63.45,clear sky,52.4333,10.8,"The Ritz-Carlton, Wolfsburg"
587,Dharchula,IN,64.38,broken clouds,29.85,80.5333,Mahara Hotel
593,Roebourne,AU,72.21,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
594,Capao Da Canoa,BR,63.88,overcast clouds,-29.7456,-50.0097,Hotel Araçá
595,French Harbor,HN,79.07,broken clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
599,Invermere,CA,75.07,broken clouds,50.5167,-116.0354,Copper Point Resort
603,Northampton,US,61.95,overcast clouds,40.8754,-75.2499,Gateway Motel
605,Praxedis Guerrero,MX,74.66,scattered clouds,31.3667,-106.0167,Congregación placitas de Otero
607,Tautira,PF,76.42,few clouds,-17.7333,-149.15,Pension Oaoa
608,Fereydun Kenar,IR,74.71,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
610,Palasbari,IN,75.02,overcast clouds,26.1361,91.5486,Maatri vojonalay
612,Hiriyur,IN,72.97,overcast clouds,13.9456,76.6192,HOTEL SURYA LODGE BAR & RESTAURANT
613,Fort Dodge,US,72.54,scattered clouds,42.4975,-94.16799999999999,"Country Inn & Suites by Radisson, Fort Dodge, IA"
624,Ambilobe,MG,69.31,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
625,Vao,NC,70.48,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
626,Kenitra,MA,68.76,clear sky,34.260999999999996,-6.5802,Bienvenue chez vous
627,Yanam,IN,77.32,overcast clouds,16.7333,82.2167,The Regency Hotel
633,Alexandria,EG,75.02,clear sky,31.2156,29.9553,Royal Crown Hotel
634,Muisne,EC,78.06,broken clouds,0.6,-80.0333,Quinta Samay
635,Wahpeton,US,75.22,clear sky,46.2652,-96.6059,Select Inn Breckenridge
636,Okitipupa,NG,73.62,moderate rain,6.5047,4.7839,Coastal Hotel & Suites
645,Nelson Bay,AU,62.01,light rain,-32.7167,152.15,Mantra Nelson Bay
652,Marzuq,YE,75.4,broken clouds,14.4,46.4667,حيد القفلة
655,Karpathos,GR,69.76,clear sky,35.507,27.2132,Alex
656,Banyo,CM,65.44,light rain,6.75,11.8167,Motel JOMBA
658,Gulabpura,IN,78.03,clear sky,25.9,74.6667,Hotel N chandra
660,Camaqua,BR,65.84,overcast clouds,-30.8511,-51.8122,Bartz Hotel
665,Belmonte,BR,77.61,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
666,Kawalu,ID,70.7,overcast clouds,-7.3817,108.2082,West Jontor
667,Mount Pleasant,US,78.31,clear sky,32.7941,-79.8626,Best Western Patriots Point
668,Phonhong,LA,73.18,light rain,18.5007,102.4166,Manyvong Guest House
669,Adoni,IN,72.16,overcast clouds,15.6333,77.2833,Bheemas Regency
