City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Kodiak,US,57.79,-152.4072,53.11,87,100,19.57,moderate rain
122,Aklavik,CA,68.2191,-135.0107,32.67,89,100,14.05,overcast clouds
123,Lasa,IT,46.6166,10.7002,58.08,84,25,2.55,scattered clouds
124,Lucea,JM,18.451,-78.1736,85.86,73,19,10.65,few clouds
125,Ayan,RU,56.45,138.1667,30.94,54,90,16.08,overcast clouds
126,Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,76,5.99,broken clouds
127,Antalaha,MG,-14.9003,50.2788,67.75,87,1,6.76,clear sky
128,Le Port,RE,-20.9373,55.2919,69.8,79,72,3.4,broken clouds
129,Canyon,US,34.9803,-101.9188,70.65,66,100,9.86,overcast clouds
130,Ecublens,CH,46.529,6.5626,64.4,72,0,6.33,clear sky
131,Bara,NG,10.3744,10.7288,75.04,82,15,3.51,light rain
132,Killarney,IE,52.05,-9.5167,51.49,74,0,10.83,clear sky
133,Zhezkazgan,KZ,47.8043,67.7144,47.57,22,0,8.66,clear sky
134,Pavlovsk,RU,50.4578,40.1081,46.29,86,47,8.41,scattered clouds
135,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,100,13.8,overcast clouds
136,Barrow,US,71.2906,-156.7887,37.42,65,40,24.16,scattered clouds
137,Beloha,MG,-25.1667,45.05,68.38,88,0,4.7,clear sky
138,Ninghai,CN,29.2892,121.4247,64.49,87,100,3.29,overcast clouds
139,Touros,BR,-5.1989,-35.4608,79.32,79,0,14.58,clear sky
140,Ulladulla,AU,-35.35,150.4667,56.3,94,100,14.16,light rain
141,El Alto,PE,-4.2714,-81.2147,71.26,72,38,18.25,scattered clouds
142,Rio Grande,BR,-32.035,-52.0986,73.51,75,54,17.74,broken clouds
143,Changde,CN,29.0464,111.6783,50.05,74,100,10.45,overcast clouds
144,La Ronge,CA,55.1001,-105.2842,43.02,45,40,6.91,scattered clouds
145,Carnarvon,AU,-24.8667,113.6333,62.92,61,21,23.67,few clouds
146,Aitape,PG,-3.1374,142.3475,78.28,87,100,7.16,overcast clouds
147,Acapulco,MX,16.8634,-99.8901,84.74,70,11,4.83,few clouds
148,Bandar-E Lengeh,IR,26.5579,54.8807,86.79,68,0,9.24,clear sky
149,Valparaiso,CL,-33.0393,-71.6273,64.63,86,40,11.5,scattered clouds
150,Goderich,CA,43.7501,-81.7165,66.52,55,29,6.91,scattered clouds
151,Haines Junction,CA,60.7522,-137.5108,42.75,75,100,1.14,overcast clouds
152,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,24.16,broken clouds
153,Molaoi,GR,36.8076,22.8513,63.59,54,7,13.2,clear sky
154,Waipawa,NZ,-41.4122,175.5153,36.86,85,99,18.77,overcast clouds
155,Esperance,AU,-33.8667,121.9,51.08,77,64,19.04,light rain
